,<CLOSE>,indicator,Общая стоимость портфеля
2014-04-28,20.4,0.0,4870.0
2014-04-29,20.55,0.0,4870.0
2014-04-30,21.1,0.0,4870.0
2014-05-02,21.3,0.0,4870.0
2014-05-05,21.31,0.0,4870.0
2014-05-06,20.29,0.0,4870.0
2014-05-07,20.01,0.0,4870.0
2014-05-08,19.15,0.0,4870.0
2014-05-12,20.1,0.0,4870.0
2014-05-13,18.0,0.0,4870.0
2014-05-14,18.74,0.0,4870.0
2014-05-15,16.8,0.0,4870.0
2014-05-16,17.0,0.0,4870.0
2014-05-19,17.32,0.0,4870.0
2014-05-20,17.24,0.0,4870.0
2014-05-21,16.81,0.0,4870.0
2014-05-22,16.92,0.0,4870.0
2014-05-23,15.5,0.0,4870.0
2014-05-26,19.15,100.0,4870.0
2014-05-27,18.48,0.0,4870.0
2014-05-28,17.43,19.5,4870.0
2014-05-29,18.02,0.0,4870.0
2014-05-30,18.32,0.0,4870.0
2014-06-02,17.21,0.0,4870.0
2014-06-03,17.49,0.0,4870.0
2014-06-04,17.26,0.0,4870.0
2014-06-05,17.21,0.0,4870.0
2014-06-06,16.91,0.0,4870.0
2014-06-09,17.53,0.0,4870.0
2014-06-10,16.9,66.66666666666666,4870.0
2014-06-16,16.85,0.0,4870.0
2014-06-17,16.01,0.0,4870.0
2014-06-18,16.83,0.0,4870.0
2014-06-19,16.31,0.0,4870.0
2014-06-20,16.07,0.0,4870.0
2014-06-24,22.49,66.66666666666666,4870.0
2014-06-25,31.48,56.925619834710744,4870.0
2014-06-26,29.0,7.142857142857142,4870.0
2014-06-27,27.11,3.75,4870.0
2014-06-30,25.34,5.0,4870.0
2014-07-01,35.47,57.39130434782609,4870.0
2014-07-02,28.56,7.5,4870.0
2014-07-03,29.0,10.0,4870.0
2014-07-04,27.02,0.0,4870.0
2014-07-07,28.44,18.0,4870.0
2014-07-08,34.0,8.333333333333334,4870.0
2014-07-09,34.47,10.0,4870.0
2014-07-10,30.12,0.0,4870.0
2014-07-11,30.0,100.0,4870.0
2014-07-14,30.18,0.0,4870.0
2014-07-15,30.19,0.0,4870.0
