ahe,female,ne,midwest,south,west,race,yrseduc,ba,hsdipl,age
7.735577106,0,1,0,0,0,1,12,0,1,56
16.10577011,1,1,0,0,0,1,12,0,1,49
10.57692337,1,1,0,0,0,1,12,0,1,35
12.69999981,0,1,0,0,0,1,13,0,1,41
14.42307663,0,1,0,0,0,1,13,0,1,30
23.07692337,0,1,0,0,0,1,16,1,1,38
13.91162014,0,1,0,0,0,1,12,0,1,42
11.21794891,1,1,0,0,0,1,12,0,1,33
12.08791256,0,1,0,0,0,1,18,1,1,56
25.38461494,0,1,0,0,0,1,12,0,1,40
7.692307472,0,1,0,0,0,1,13,0,1,46
7.384615421,0,1,0,0,0,1,18,1,1,43
2.723311663,0,1,0,0,0,1,12,0,1,55
9.615385056,0,1,0,0,0,1,12,0,1,55
21.63461494,0,1,0,0,0,1,12,0,1,44
20,0,1,0,0,0,1,16,1,1,42
13.46153831,1,1,0,0,0,1,16,1,1,41
17.77777863,0,1,0,0,0,1,12,0,1,33
18.26922989,0,1,0,0,0,1,13,0,1,41
14.61923122,0,1,0,0,0,1,14,0,1,32
8.675569534,0,1,0,0,0,1,16,1,1,45
27.2133522,1,1,0,0,0,1,16,1,1,28
14.90384579,0,1,0,0,0,1,16,1,1,30
19.71153831,1,1,0,0,0,1,18,1,1,42
18.26922989,0,1,0,0,0,1,20,1,1,41
18.46153831,1,1,0,0,0,1,16,1,1,30
16.79999924,0,1,0,0,0,1,16,1,1,37
23.36538506,0,1,0,0,0,1,14,0,1,58
9.134614944,0,1,0,0,0,1,12,0,1,52
6.730769157,0,1,0,0,0,1,9,0,0,29
21.15384674,0,1,0,0,0,1,14,0,1,35
13.94230747,0,1,0,0,0,1,12,0,1,40
11.05769253,1,1,0,0,0,1,12,0,1,44
18.83012772,0,1,0,0,0,1,12,0,1,51
5.769230843,1,1,0,0,0,1,16,1,1,26
14.9572649,0,1,0,0,0,1,14,0,1,36
10.22067261,1,1,0,0,0,1,16,1,1,37
9.41915226,1,1,0,0,0,1,12,0,1,48
12.01923084,1,1,0,0,0,1,12,0,1,52
17.78846169,1,1,0,0,0,1,13,0,1,59
7.085020065,0,1,0,0,0,1,12,0,1,35
11.18067932,0,1,0,0,0,1,16,1,1,34
11,0,1,0,0,0,1,12,0,1,28
6.578947544,1,1,0,0,0,1,12,0,1,53
26.44230843,0,1,0,0,0,1,12,0,1,41
15.14423084,1,1,0,0,0,1,12,0,1,39
28.84615326,0,1,0,0,0,1,12,0,1,49
8.603239059,1,1,0,0,0,1,14,0,1,47
12.14278889,0,1,0,0,0,1,12,0,0,39
7.5,1,1,0,0,0,1,14,0,1,36
9.572649956,1,1,0,0,0,1,18,1,1,45
13.51351357,1,1,0,0,0,1,12,0,1,42
12.01923084,0,1,0,0,0,1,14,0,1,39
13.46153831,1,1,0,0,0,1,12,0,1,54
11.2293272,0,1,0,0,0,1,12,0,1,27
13.67521381,1,1,0,0,0,1,13,0,1,37
24.03846169,1,1,0,0,0,1,18,1,1,44
20.76922989,0,1,0,0,0,1,13,0,1,40
4.807692528,1,1,0,0,0,1,13,0,1,42
25,1,1,0,0,0,1,16,1,1,58
6.730769157,0,1,0,0,0,1,12,0,1,62
12.01923084,1,1,0,0,0,1,12,0,1,28
21.63461494,0,1,0,0,0,1,12,0,1,59
13.18681335,1,1,0,0,0,1,14,0,1,42
20.19230843,0,1,0,0,0,1,12,0,1,45
16.88034248,1,1,0,0,0,1,18,1,1,47
12.82051277,0,1,0,0,0,1,12,0,1,38
25,0,1,0,0,0,1,12,0,1,49
7.540485859,1,1,0,0,0,1,13,0,1,28
20.83333397,0,1,0,0,0,1,12,0,1,30
16.82692337,0,1,0,0,0,1,12,0,1,48
15.79670334,1,1,0,0,0,1,14,0,1,34
16.16300392,0,1,0,0,0,1,14,0,1,53
23.84615326,0,1,0,0,0,1,16,1,1,47
25,1,1,0,0,0,1,16,1,1,55
9.134614944,0,1,0,0,0,1,8,0,0,61
20.19230843,1,1,0,0,0,1,14,0,1,44
32.05128098,0,1,0,0,0,1,14,0,1,46
29.9145298,1,1,0,0,0,1,16,1,1,36
8.012820244,0,1,0,0,0,1,20,1,1,42
7.836538315,1,1,0,0,0,1,12,0,1,52
9.017093658,0,1,0,0,0,1,14,0,1,49
23.90109825,0,1,0,0,0,1,12,0,1,58
10.93799973,1,1,0,0,0,1,18,1,1,52
13.56837654,0,1,0,0,0,1,16,1,1,30
37.06293869,0,1,0,0,0,1,13,0,1,47
16.66666603,0,1,0,0,0,1,12,0,1,41
24.72527504,1,1,0,0,0,1,16,1,1,47
19.71153831,0,1,0,0,0,1,18,1,1,43
7.211538315,0,1,0,0,0,1,10,0,0,27
8.241758347,0,1,0,0,0,1,12,0,1,40
25.96153831,0,1,0,0,0,1,14,0,1,37
24.03846169,1,1,0,0,0,1,18,1,1,41
10.7334528,0,1,0,0,0,1,12,0,1,38
25.52596092,0,1,0,0,0,1,20,1,1,47
14.33566475,1,1,0,0,0,1,18,1,1,30
11.53846169,1,1,0,0,0,1,16,1,1,56
11.05769253,0,1,0,0,0,1,16,1,1,60
16.82692337,1,1,0,0,0,1,13,0,1,39
22.22222137,0,1,0,0,0,1,12,0,1,42
25.64102554,0,1,0,0,0,1,16,1,1,42
11.53846169,1,1,0,0,0,1,16,1,1,42
15.38461494,0,1,0,0,0,1,10,0,0,60
38.46154022,0,1,0,0,0,1,18,1,1,52
8.17307663,1,1,0,0,0,1,12,0,1,47
18.75,1,1,0,0,0,1,10,0,0,59
26.38640404,0,1,0,0,0,1,13,0,1,41
19.23077011,0,1,0,0,0,1,20,1,1,42
14.56043911,1,1,0,0,0,1,18,1,1,39
38.46154022,0,1,0,0,0,1,16,1,1,38
35.57692337,1,1,0,0,0,1,16,1,1,40
31.13553047,0,1,0,0,0,1,16,1,1,44
38.3841362,0,1,0,0,0,1,13,0,1,50
12.01923084,0,1,0,0,0,1,14,0,1,27
42.73504257,1,1,0,0,0,1,16,1,1,33
22.43589783,0,1,0,0,0,1,13,0,1,39
3.846153736,1,1,0,0,0,1,12,0,1,59
25.48077011,0,1,0,0,0,1,16,1,1,39
6.555943966,0,1,0,0,0,1,12,0,1,60
7.384615421,0,1,0,0,0,1,12,0,1,31
44.44444275,0,1,0,0,0,1,16,1,1,56
19.23077011,1,1,0,0,0,1,14,0,1,52
32.05128098,0,1,0,0,0,1,16,1,1,62
11.13846111,0,1,0,0,0,2,13,0,1,46
25,1,1,0,0,0,2,16,1,1,36
24.72527504,0,1,0,0,0,1,14,0,1,38
4.807692528,1,1,0,0,0,1,12,0,1,35
17.94871712,1,1,0,0,0,1,16,1,1,50
